Transparency Data ,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,05/12/2014,Photocopy Costs,JRS,Oce (UK) Ltd,73026969,63.72,GBP
BIS,EPSRC,05/12/2014,T&S UK - Other Charges,Programme Delivery Engineering,Unspecified,73027007,15,GBP
BIS,EPSRC,05/12/2014,T&S UK - Public Transport,Programme Delivery Engineering,Unspecified,73027007,7,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,73027007,3.79,GBP
BIS,EPSRC,05/12/2014,T&S UK - Subsistence,Programme Delivery Engineering,Unspecified,73027007,22,GBP
BIS,EPSRC,05/12/2014,T&S Overseas - Public Transport,Programme Delivery Capability,Unspecified,73027008,3.16,GBP
BIS,EPSRC,05/12/2014,T&S Overseas - Subsistence,Programme Delivery Capability,Unspecified,73027008,5,GBP
BIS,EPSRC,05/12/2014,T&S Overseas - Subsistence,Programme Delivery Capability,Unspecified,73027008,11.99,GBP
BIS,EPSRC,08/12/2014,Meetings & Catering,Programme Delivery Healthcare,Cricklade House,67387559,4159.7,GBP
BIS,EPSRC,08/12/2014,Photocopy Costs,JRS,Intelligent Finishing Systems Ltd,67474061,14.28,GBP
BIS,EPSRC,08/12/2014,Photocopy Costs,JRS,Intelligent Finishing Systems Ltd,67474061,16.2,GBP
BIS,EPSRC,08/12/2014,Photocopy Costs,JRS,Intelligent Finishing Systems Ltd,67474061,71.87,GBP
BIS,EPSRC,08/12/2014,T&S UK - Vehicle Hire,Programme Delivery Quantum Technology,Unspecified,72501429,17.62,GBP
BIS,EPSRC,08/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),DR DENIS KRAMER,73018293,-160,GBP
BIS,EPSRC,08/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),DR DENIS KRAMER,73018293,160,GBP
BIS,EPSRC,08/12/2014,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),DR DENIS KRAMER,73018293,160,GBP
BIS,EPSRC,08/12/2014,Photocopy Costs,JRS,Banner Business Services Limited,73024183,48.02,GBP
BIS,EPSRC,08/12/2014,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,73024185,9.04,GBP
BIS,EPSRC,08/12/2014,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,73024185,23.66,GBP
BIS,EPSRC,08/12/2014,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,73024185,24.62,GBP
BIS,EPSRC,08/12/2014,Meetings & Catering,EPSRC Corporate Services,Banner Business Services Limited,73024185,138.3,GBP
BIS,EPSRC,08/12/2014,Purchase of non capital equipment,EPSRC Corporate Services,RS Components,73087063,34.2,GBP
