Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,King's College London,37922025,4034.86,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Infrastructure,University College London GRANT,37922026,2812.5,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Physical Sciences,University College London GRANT,37922026,937.5,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Infrastructure,University College London GRANT,37922026,23987.88,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University College London GRANT,37922026,7995.96,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Manchester GRANT,37922027,53188.58,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,Loughborough University GRANT,37922028,18065.05,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Warwick,37922029,17892.01,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Healthcare Engineering,King's College London,37922030,25932.8,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Warwick,37922031,63791.24,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Strathclyde GRANT,37922032,34033.55,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Energy Energy,University of Nottingham GRANT,37922033,56657,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University of Edinburgh,37922034,3502.97,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Sheffield GRANT,37922035,16151.28,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Maths,University College London GRANT,37922036,6052.58,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Bath,37922037,8048.06,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC ICT,University of Nottingham GRANT,37922038,23216.73,GBP
