DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,TransactionNumber,Amount,InvoiceCurrencyUnit
BIS,EPSRC,09/06/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Non Employee Expenses Supplier,88144064,320,GBP
BIS,EPSRC,09/06/2015,Consumables,JRS,Antalis McNaughton Limited,88144141,-0.03,GBP
BIS,EPSRC,09/06/2015,Consumables,JRS,Antalis McNaughton Limited,88144141,-0.01,GBP
BIS,EPSRC,09/06/2015,Consumables,JRS,Antalis McNaughton Limited,88144141,145.44,GBP
BIS,EPSRC,09/06/2015,Consumables,JRS,Antalis McNaughton Limited,88144143,117.58,GBP
BIS,EPSRC,09/06/2015,Freight Charges,JRS,Antalis McNaughton Limited,88144143,2,GBP
BIS,EPSRC,09/06/2015,Freight Charges,JRS,Antalis McNaughton Limited,88144143,10,GBP
BIS,EPSRC,09/06/2015,T&S UK - Parking Tolls Congestion Charges,Admin Business Innovation Director,Unspecified,88144209,6.6,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,88144211,3.99,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery Digital Economy,Unspecified,88144211,5,GBP
BIS,EPSRC,09/06/2015,T&S UK - Public Transport,Newton Programme Management Team,Unspecified,88144212,20,GBP
BIS,EPSRC,09/06/2015,T&S Overseas - Accommodation,Programme Delivery Quantum Technology,Unspecified,88144213,125.34,GBP
BIS,EPSRC,09/06/2015,T&S Overseas - Public Transport,Programme Delivery Quantum Technology,Unspecified,88144213,1.39,GBP
BIS,EPSRC,09/06/2015,T&S Overseas - Subsistence,Programme Delivery Quantum Technology,Unspecified,88144213,4.8,GBP
BIS,EPSRC,09/06/2015,T&S Overseas - Subsistence,Programme Delivery Quantum Technology,Unspecified,88144213,7.43,GBP
BIS,EPSRC,09/06/2015,T&S Overseas - Subsistence,Programme Delivery Quantum Technology,Unspecified,88144213,10,GBP
BIS,EPSRC,09/06/2015,T&S UK - Vehicle Hire,Programme Delivery Manufacturing,Unspecified,88144214,27.84,GBP
BIS,EPSRC,09/06/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,88144215,6.5,GBP
BIS,EPSRC,09/06/2015,T&S UK - Public Transport,Programme Delivery Manufacturing,Unspecified,88144215,9,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,88144215,5,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery Manufacturing,Unspecified,88144215,11.49,GBP
BIS,EPSRC,09/06/2015,T&S UK - Public Transport,Programme Delivery ICT,Unspecified,88144216,23,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,88144216,5,GBP
BIS,EPSRC,09/06/2015,T&S UK - Subsistence,Programme Delivery ICT,Unspecified,88144216,18.2,GBP
BIS,EPSRC,09/06/2015,T&S UK - Parking Tolls Congestion Charges,Programme Delivery Digital Economy,Unspecified,88144217,13.1,GBP
